target_time_s,saved_set,saved_time_s,svar_index,bin_index,radial_depth_percent_start,radial_depth_percent_end,radial_depth_mm_start,radial_depth_mm_end,raw_max_value,plotted_max_value,interpolated,nodal_sample_count
3,60,3,1,65,64,65,1.625600,1.651000,8.5312987721408717e-05,8.5312987721408717e-05,0,51
3,60,3,1,66,65,66,1.651000,1.676400,6.7856756686524022e-05,6.7856756686524022e-05,0,153
3,60,3,1,67,66,67,1.676400,1.701800,4.4004145138387685e-05,4.4004145138387685e-05,0,51
3,60,3,1,68,67,68,1.701800,1.727200,3.3617573308220017e-05,3.3617573308220017e-05,0,136
3,60,3,1,69,68,69,1.727200,1.752600,2.8732858254443272e-05,2.8732858254443272e-05,0,187
3,60,3,1,70,69,70,1.752600,1.778000,2.4110995036608073e-05,2.4110995036608073e-05,0,170
3,60,3,1,71,70,71,1.778000,1.803400,5.3286348247638671e-05,5.3286348247638671e-05,0,1394
3,60,3,1,72,71,72,1.803400,1.828800,1.4732636418557377e-05,1.4732636418557377e-05,0,4624
3,60,3,1,73,72,73,1.828800,1.854200,1.0366505023284844e-05,1.0366505023284844e-05,0,8840
3,60,3,1,74,73,74,1.854200,1.879600,8.2355903487041356e-06,8.2355903487041356e-06,0,5933
3,60,3,1,75,74,75,1.879600,1.905000,6.5929083802984676e-06,6.5929083802984676e-06,0,7259
3,60,3,1,76,75,76,1.905000,1.930400,4.9553348617337177e-06,4.9553348617337177e-06,0,9214
3,60,3,1,77,76,77,1.930400,1.955800,2.9414701998575765e-06,2.9414701998575765e-06,0,17
